time,point0_x,point0_y,point0_z,point1_x,point1_y,point1_z,point2_x,point2_y,point2_z,point3_x,point3_y,point3_z,point4_x,point4_y,point4_z,point5_x,point5_y,point5_z,point6_x,point6_y,point6_z,point7_x,point7_y,point7_z,point8_x,point8_y,point8_z,point9_x,point9_y,point9_z,point10_x,point10_y,point10_z,point11_x,point11_y,point11_z,point12_x,point12_y,point12_z,point13_x,point13_y,point13_z,point14_x,point14_y,point14_z,point15_x,point15_y,point15_z,point16_x,point16_y,point16_z,point17_x,point17_y,point17_z,point18_x,point18_y,point18_z,point19_x,point19_y,point19_z,point20_x,point20_y,point20_z
0.0,-0.20227978,-0.44651483,1.41748615,-0.20738405706953456,-0.4664698018880367,1.455355365117259,-0.21603938736014736,-0.49185934298108447,1.473436373988993,-0.23024522590584562,-0.5147332181882615,1.4803984185562036,-0.2354525382517672,-0.5344654941259832,1.4935942933139048,-0.21595181819587667,-0.5292408567195689,1.4476781884386616,-0.2143707717264314,-0.5647395956432106,1.4617943624085632,-0.22150080931178412,-0.5847530770219233,1.4662160283003955,-0.22720707891004038,-0.6015439349927783,1.4692261625628111,-0.20875232187097048,-0.5328026391804196,1.4269755862522189,-0.21051138172623676,-0.5730638734371197,1.431843691192867,-0.21264783714454258,-0.5980953096196217,1.4346363581878028,-0.2140063688601295,-0.619236461922573,1.4384741660294251,-0.20036462628103208,-0.5297248519384103,1.4077934091789712,-0.20295157955741117,-0.5649841085881377,1.4040574478020167,-0.19949333588536503,-0.5912387199965341,1.4059392722387332,-0.20027798867192434,-0.6122081422958232,1.40843811318321,-0.19579533074875757,-0.5214250902096915,1.3884068182610017,-0.19798149147446029,-0.5451004157406928,1.377781401826883,-0.18673628833133302,-0.565566047578639,1.3766337653814522,-0.18997399265435586,-0.5808780293851885,1.3743898996096124
0.3881557,-0.20227978,-0.44651483,1.41748615,-0.20284079805640284,-0.4663876452362985,1.4570256990745347,-0.216442918599555,-0.49226401826608013,1.4736599935704247,-0.22612185662887752,-0.5162284393789696,1.4817224206454078,-0.23538786848012533,-0.5340838124072155,1.4928990551585835,-0.21578639485317352,-0.5286702878120926,1.4472572345764236,-0.21409173723997993,-0.5642721039095155,1.4608649545570696,-0.22106519727884688,-0.5840212484597865,1.4649854767832309,-0.22680844923298626,-0.6004002225774093,1.4683016967054077,-0.20875144389876477,-0.5329181982053602,1.4266676019157085,-0.20559460796487167,-0.5735159301783106,1.433199645613213,-0.2075447583482472,-0.5990126742585867,1.435499247391791,-0.21336807011252637,-0.6179710632143464,1.437263304100084,-0.20051578162152242,-0.5297700354141619,1.4080848958287648,-0.1937969525077095,-0.5680395218542018,1.4072369316330575,-0.1945687647172724,-0.592669088592183,1.4071610903493466,-0.20018562596199985,-0.6113885756934798,1.4085680832872858,-0.1958903757881569,-0.5215399660692416,1.388676215322541,-0.19771436041083704,-0.5451685078876652,1.3772019655821555,-0.18649817644368819,-0.5652787220815866,1.376380937040112,-0.18975979663997578,-0.5802055734614352,1.374439976598154
0.69944692,-0.20227978,-0.44651483,1.41748615,-0.20744219986420473,-0.4671290162353592,1.4555736813936841,-0.22050288569728807,-0.49160978858795834,1.471590130531327,-0.2306270229699801,-0.5156682836583949,1.4804825667253971,-0.24012992662861354,-0.5341557432226453,1.491667910860229,-0.21592091261573026,-0.5294009495144025,1.4475650582965696,-0.21411918930575788,-0.5655522428086295,1.461250530696064,-0.22122560061734584,-0.5855498501521347,1.465336273797967,-0.22728308049864165,-0.60197994758469,1.469245824568092,-0.21312390636753062,-0.5319242651989877,1.4250066047910164,-0.21026026880288443,-0.5731625898352479,1.4314400109721503,-0.2124745812732337,-0.5985100806361414,1.4342498629560183,-0.21854913445126137,-0.617702246656145,1.4362878220633326,-0.20489134683967383,-0.5290883922008925,1.4061797793368354,-0.20299563002862078,-0.5654429605284677,1.404015400662039,-0.19928924369156523,-0.5918306596967354,1.40557838421994,-0.20515937844876253,-0.6111774128059791,1.4069928881284324,-0.19584751825665664,-0.5215802909342341,1.3885428271192253,-0.1981470549627916,-0.5455148231331773,1.377758863785352,-0.18648420607834612,-0.5660835340501755,1.3762969246342458,-0.1898253821067345,-0.581567524887845,1.374001854599742
0.99825001,-0.20227978,-0.44651483,1.41748615,-0.20761814266162387,-0.46739646014834296,1.455894638306816,-0.22065105668630053,-0.491906424760213,1.4718890415195398,-0.2305485797589071,-0.5153798946584827,1.4806761410089784,-0.24003226312320816,-0.5342637769254002,1.4915899234946486,-0.21602354693539438,-0.5296745111280157,1.4478366337010293,-0.21377211073943017,-0.5649683863920113,1.4610606141478242,-0.2210615146534033,-0.5852185136159251,1.4654845874808262,-0.22689497581340612,-0.6018129787961624,1.4687560612192794,-0.21302203021436375,-0.5319435555508891,1.424933354108364,-0.2147041505774872,-0.5711992067046708,1.4298831626284765,-0.21229170124666802,-0.5981419583328077,1.4343881651717405,-0.21834339555898152,-0.6173431341413809,1.4364092767192986,-0.20498770318938228,-0.5293109937534166,1.4064487082595238,-0.19810840362329266,-0.5669562506730943,1.405307795876827,-0.19911142703832624,-0.5914224941738898,1.4057237130165476,-0.2047518446775758,-0.6105369194046717,1.4067654099019071,-0.19575614980667827,-0.5219236195497803,1.3882251773570147,-0.19802580089053717,-0.5458517830215718,1.3774207688745386,-0.19122270253134577,-0.56451700334731,1.3751597679932246,-0.1896566557450269,-0.5811262028103976,1.374153545437835
1.30444121,-0.20227978,-0.44651483,1.41748615,-0.20689699194766495,-0.46594945237173,1.4549184927369851,-0.21578816569248893,-0.4915590023106145,1.473285335420732,-0.2303664340550853,-0.5145907749702409,1.4803287557441043,-0.24009635717952219,-0.5328743684872373,1.4921691101106354,-0.21590097986413273,-0.5290619255010433,1.4475492830394283,-0.21397322196357677,-0.5649370997955454,1.4610285512314476,-0.22132447520018803,-0.5851461716574267,1.4655371159729174,-0.22245108653513979,-0.6035016285051303,1.4707809045486846,-0.20861169738893193,-0.5327542399546498,1.4266135760741698,-0.20584459010761666,-0.5747748357009022,1.433713280110047,-0.21260691369884738,-0.5982228421264064,1.4344900964691882,-0.21872134980570396,-0.6177920182776875,1.4363250255664757,-0.2004792641288294,-0.530191241930586,1.4078926469468434,-0.19853304788672427,-0.5670388554850999,1.4058850738371076,-0.19962031826261586,-0.5915038914246966,1.4064169146845928,-0.2053235722252172,-0.6109915769951423,1.4072719285013724,-0.19582360595185536,-0.5214683471291637,1.3884857875379364,-0.19837286323752512,-0.5460365133320693,1.377865651465628,-0.19164677468818372,-0.5651252146600213,1.3754492115404544,-0.19014395433769715,-0.5821423507515627,1.3742597551138596
1.60974407,-0.20227978,-0.44651483,1.41748615,-0.2112460140611489,-0.46722828663052085,1.455411080587817,-0.22597198511772315,-0.49051968378848126,1.4702534496975157,-0.24117913368361857,-0.5120391394186743,1.475923293972514,-0.2523411155567828,-0.5313329126828484,1.4861055988593064,-0.2159683160301954,-0.5299217132570886,1.4476394901296086,-0.22033093042007962,-0.5647919548702317,1.458431224496265,-0.22850790127348336,-0.5852523077406667,1.4617695333753884,-0.23025806887425423,-0.603403546281492,1.466287491990796,-0.2114621229030951,-0.5323125098567825,1.4250350745201925,-0.21458227386647397,-0.5720623808624975,1.42951902438852,-0.21769351861277575,-0.597752642019908,1.4315847315495298,-0.21975382000193763,-0.618526731401754,1.4350262581557267,-0.20181866531787557,-0.5293396700725862,1.4073162314433254,-0.20519222841993326,-0.5648959812772907,1.4028930126435384,-0.20260151734827148,-0.5912446594927541,1.4050634444954009,-0.20885280340874268,-0.609803878271764,1.4057152223931952,-0.19586811742899876,-0.5216911615179121,1.3885900968912408,-0.1977188675529158,-0.5455915086024716,1.3767934039205336,-0.1868078858543123,-0.5663487917809383,1.3766309119255544,-0.19038266352156505,-0.5813233546962515,1.3741624854015255
1.90825081,-0.20227978,-0.44651483,1.41748615,-0.21080459639106763,-0.46616273631241817,1.4552358851001537,-0.22530912461922592,-0.48853533305122443,1.4702027985927564,-0.24416101929472217,-0.5096562377209924,1.4724714970278052,-0.25472398764563775,-0.5290447938186427,1.481342604057132,-0.2159615318948913,-0.5296558262300359,1.447653581427339,-0.2203183852348316,-0.5645586581887204,1.4583469712010408,-0.22848022871470572,-0.5854233647433934,1.4613460644077254,-0.2304709463874329,-0.6038346120300422,1.4661486525723866,-0.21169096891445943,-0.5318270601856405,1.4256202766978803,-0.21503896749489507,-0.5722069543321389,1.430065771843028,-0.21815854282748262,-0.5975180486190131,1.4323366389366115,-0.22487657653396023,-0.6169498757028431,1.4333254945903542,-0.20204037811523043,-0.5291701736439989,1.4076484727808312,-0.20085606537585535,-0.5660109050353757,1.4051552321181497,-0.20281954281046022,-0.5910709430115737,1.4052291027258716,-0.20904816926992914,-0.6104159723573809,1.4052751447280707,-0.19585734340313837,-0.5212305209058963,1.388617438300078,-0.19793657095256217,-0.5449483708920524,1.377322129151588,-0.1870359829188066,-0.565690529732469,1.377135441486413,-0.1903598534827185,-0.5808083800830119,1.3740181522589736
2.21024036,-0.20227978,-0.44651483,1.41748615,-0.2091742460702062,-0.4641227752302067,1.454783517809949,-0.22997218977623662,-0.48396038665526975,1.4648536892441262,-0.24254541274435001,-0.5052751678457376,1.468910605667531,-0.25488770405683714,-0.5253818984674614,1.473349029217947,-0.21574533869093282,-0.52790905894777,1.4472328788834592,-0.21375484598621283,-0.5633113788256432,1.4609803069732394,-0.21634071141164316,-0.5865431770145815,1.4669524116904706,-0.22183182018535783,-0.6036044564249619,1.4694205987561741,-0.2068386830448273,-0.5318310336311683,1.4273594626388633,-0.2035417133058755,-0.573664872174756,1.435250260221785,-0.21012090449378998,-0.598168042311196,1.4361676806373234,-0.2112946004371827,-0.6199752686034113,1.4400166918587405,-0.2017105617566769,-0.5283123962856782,1.4075391518160747,-0.19434515092035398,-0.5662434730492134,1.40835576443381,-0.1950053735259659,-0.5913590212376156,1.4092036758225457,-0.20021672016099737,-0.6109930016046744,1.4098172791264998,-0.19587681342920507,-0.5203723705635706,1.388786630690542,-0.19256137524154462,-0.546142058708014,1.3801926041163863,-0.1851558177373905,-0.5650622794082614,1.3786373755715173,-0.18310038274081036,-0.5820451480503552,1.3778154671959537
2.52041078,-0.20227978,-0.44651483,1.41748615,-0.21280624787974542,-0.4637171511845268,1.4532363144601979,-0.2279216753145744,-0.48296547432334935,1.4665740777059535,-0.24995995131627374,-0.5021994827110939,1.4627216970244277,-0.2662787731008936,-0.5208435456258416,1.4603123473573436,-0.21610446020506316,-0.5301527874231227,1.448016777283043,-0.2218655587171139,-0.5652522057040582,1.457615440632398,-0.23107625314613098,-0.5856820484965424,1.4602744540541555,-0.23814937544237444,-0.6022687749868846,1.4617518923655288,-0.2146839516409103,-0.5321049505844587,1.4234935875529249,-0.21950128054963075,-0.571729697205256,1.4276015080408075,-0.21941202877046906,-0.5987992385718924,1.4324023328776887,-0.2266691897922647,-0.6179964559354809,1.4325487576293865,-0.20389266419740398,-0.5296577580275319,1.4068726725167575,-0.212407572215354,-0.5625264669434079,1.4005429784071615,-0.20639847315680712,-0.5904890195178956,1.4046074030014533,-0.21327623325153477,-0.6096078125962812,1.4041646827049274,-0.19576395886739234,-0.5213766642577379,1.3883192561343052,-0.19859450923579158,-0.5453122461027993,1.3780387430888688,-0.19272347441984897,-0.5647361203911753,1.37635634310676,-0.1920407871738193,-0.5821817710576301,1.3748233299201718
2.86825347,-0.20227978,-0.44651483,1.41748615,-0.21379198947588676,-0.4608517174151398,1.4490803563481325,-0.23160023889095688,-0.4794151261144113,1.4601560322568148,-0.25128983364570306,-0.49957484997182133,1.4554121027834892,-0.2644305398977171,-0.5190284009312975,1.4502334005114985,-0.21651175121354735,-0.5295848316914785,1.4493083018592627,-0.21964772947962277,-0.5643739694301039,1.4586565916852339,-0.22718898428532935,-0.5855018961174919,1.4606967194301084,-0.23253414699403263,-0.6024753225470022,1.4611204436028178,-0.21044949274888813,-0.5337632526433775,1.4263380895517694,-0.21681120522426384,-0.5708621724722913,1.4287003908542635,-0.21480731647996323,-0.5972704149147451,1.4335786823022765,-0.22076835458604493,-0.6169683927217537,1.4336578699204592,-0.20359308566373582,-0.5299766745703989,1.4063428633486705,-0.20171295245412563,-0.5660773380980957,1.4054225364283996,-0.20282026619959617,-0.5898993469926972,1.405887085344258,-0.2084467135545107,-0.6091157502100955,1.4056425464045046,-0.19524609409550134,-0.5207072288755671,1.386857039942132,-0.1970934511353062,-0.5456148475456779,1.3772616070564834,-0.1856591426130224,-0.5659235061084849,1.378147217050648,-0.18871543097403345,-0.5817942916795622,1.3752350661354344
