time,point0_x,point0_y,point0_z,point1_x,point1_y,point1_z,point2_x,point2_y,point2_z,point3_x,point3_y,point3_z,point4_x,point4_y,point4_z,point5_x,point5_y,point5_z,point6_x,point6_y,point6_z,point7_x,point7_y,point7_z,point8_x,point8_y,point8_z,point9_x,point9_y,point9_z,point10_x,point10_y,point10_z,point11_x,point11_y,point11_z,point12_x,point12_y,point12_z,point13_x,point13_y,point13_z,point14_x,point14_y,point14_z,point15_x,point15_y,point15_z,point16_x,point16_y,point16_z,point17_x,point17_y,point17_z,point18_x,point18_y,point18_z,point19_x,point19_y,point19_z,point20_x,point20_y,point20_z
0.0,-0.20227978,-0.44651483,1.41748615,-0.2025237513234624,-0.4652659937831747,1.4552944492968658,-0.21615242572740684,-0.48949640958027124,1.473059885507396,-0.22718263645171574,-0.5132140747723918,1.4826072068734661,-0.23650547595522126,-0.5306325602815305,1.4937677778429008,-0.21612682597726612,-0.5280085743790186,1.4483609247207825,-0.2189784137814712,-0.5616645499701771,1.4614626149387782,-0.23234113913801782,-0.5790134875986437,1.4646357514352863,-0.23892538708665717,-0.5953095817749608,1.467819593358832,-0.21096589694905526,-0.5320549070620519,1.4260811523020394,-0.21315307861589963,-0.5723105269586006,1.4291644853109993,-0.22112231022381637,-0.5954747915386527,1.4289713637124764,-0.22801467146098003,-0.6146280150353203,1.4298404843996606,-0.203900191153346,-0.5285178846197505,1.4062549917324891,-0.21330322961820383,-0.5623200789273196,1.398416468075389,-0.20945884407344834,-0.5885750373011819,1.3974921892719339,-0.21561590327005167,-0.6071833236341508,1.3965060968869458,-0.1954744778477778,-0.5200373656963654,1.3876266839098415,-0.20486653561689577,-0.5418914819819265,1.373116905461782,-0.20836082477169637,-0.5571981781460851,1.3669747668663093,-0.20669885093470547,-0.5728994735700204,1.363551966934913
0.47906041,-0.20227978,-0.44651483,1.41748615,-0.20220722306600483,-0.46565643519594935,1.4546012889240645,-0.21547219113353208,-0.48980315285904547,1.471917558430583,-0.22654605250038853,-0.5138513121934288,1.4817663588801098,-0.23625860713371588,-0.531670362932616,1.4942807229198178,-0.21617218134977317,-0.5295567401991708,1.4482963829280215,-0.21885403908933465,-0.5633564785503722,1.4612861630465426,-0.23210530868956758,-0.5807494760315677,1.4644008014951366,-0.23879467975083926,-0.5973307795593602,1.4679167969293356,-0.21081624399927035,-0.5328368368728104,1.4258727558114306,-0.21851850820754556,-0.5716817335444032,1.428111566781112,-0.22107981628367585,-0.5968538497113489,1.4293173015087142,-0.2331781730385056,-0.6137612637831206,1.4290164067154631,-0.20383271452653046,-0.5291720839496716,1.406040681619316,-0.2130992080696926,-0.5629816630023777,1.3980724705782777,-0.20896380911100046,-0.5890232595472857,1.3966537662954204,-0.2152901357649613,-0.6083086981923311,1.395710457041511,-0.1956428567898449,-0.5203987203359157,1.3880835295972946,-0.19987585856239573,-0.5443843117577019,1.3743277902109692,-0.2033034760015716,-0.5594743649922451,1.3683198812410706,-0.2015625119949002,-0.5758089324975126,1.3645327417985496
0.78097796,-0.20227978,-0.44651483,1.41748615,-0.20626977369358762,-0.4658830244518802,1.4548226797706074,-0.22182543268912328,-0.4895023953225915,1.4709168845814153,-0.2341657042134428,-0.513053251758176,1.478754608128072,-0.2453186381568223,-0.530260947783377,1.490013743653806,-0.2162759050937578,-0.5297494965782699,1.4485816650191308,-0.22657540360650347,-0.5620591636540546,1.4594477526252858,-0.24044162107994252,-0.5787032323334549,1.4610272052567668,-0.2432638918551583,-0.5975164407708963,1.4663520982081497,-0.21451683536690508,-0.5322742624697803,1.424600553617929,-0.21852636476916257,-0.5727567349054961,1.4276481387906421,-0.2271980607384567,-0.5956468809632736,1.4266622747944178,-0.2347525899490412,-0.6145677822830212,1.4268483592020431,-0.20600532125956,-0.5291167034292091,1.405792648474438,-0.21072685523407675,-0.564603732961942,1.398516708965915,-0.2128319933172476,-0.5890026422169355,1.396264056903282,-0.21977566109433921,-0.6080377964962305,1.3947512301596439,-0.1955634276223348,-0.5202136060739003,1.3878699171095854,-0.19953180888446112,-0.5440334716804629,1.373752084417603,-0.20301007636179472,-0.5589886530401112,1.367443560516142,-0.207034212610756,-0.5734346338989434,1.3630701156698897
1.08739233,-0.20227978,-0.44651483,1.41748615,-0.20167576461805756,-0.46556898508985334,1.4564319594864559,-0.21881183775679963,-0.48981574533781114,1.4716302018954652,-0.22810177643351656,-0.5135106911229816,1.4811581035185493,-0.23669676384644764,-0.5319127224494599,1.4931319297399746,-0.21606865786819127,-0.5279057125291895,1.4482002619889351,-0.21683983789856337,-0.5620748504918649,1.4613394614524389,-0.22380182824936942,-0.5819679476507703,1.4665634010377337,-0.2346911295316416,-0.5971420183967864,1.46814850421312,-0.2104172012393618,-0.5317660707934497,1.4260066840323438,-0.2155462838403845,-0.5711691179217866,1.428003754186799,-0.21654300616162883,-0.596453176314304,1.4295095115491057,-0.22213182294395567,-0.6160220785713806,1.4304734175020428,-0.2034038751482879,-0.5279125899806002,1.406220947747578,-0.20506464743484773,-0.5642420120281859,1.3994813074949282,-0.2050506396569081,-0.5890238086716557,1.3980879994146995,-0.21552346085445595,-0.6065814579823526,1.3961541369609425,-0.1955620631857503,-0.5192682915729522,1.3879880706787615,-0.2033103042929618,-0.542178792277807,1.3732724841308042,-0.20569736147286183,-0.5577343612415246,1.3672262319426245,-0.20296357695969516,-0.5733612895182616,1.363982553907234
1.39618111,-0.20227978,-0.44651483,1.41748615,-0.20096261193874668,-0.46456072180047364,1.454956736314594,-0.2182921639764712,-0.488792087606983,1.4708880387048444,-0.22782409333505987,-0.512975983684422,1.4808693319467525,-0.23640279885355037,-0.5307941785792035,1.4933664662012962,-0.21595687000889638,-0.5282561150856683,1.447820629218031,-0.21676773000452318,-0.5618753714467513,1.461704352119705,-0.22896346090029984,-0.5799253311431957,1.4651190378986378,-0.22952455301528343,-0.5983443308046712,1.471409863681091,-0.21052654729946566,-0.5322467542280775,1.4263162972228607,-0.21017278787257862,-0.5726106273756905,1.4303456359585434,-0.21676797502333653,-0.5960680068079582,1.4312653558324409,-0.22243426103585046,-0.6160288944820227,1.4322270253049405,-0.20355757171884575,-0.528668922165315,1.4064632407282216,-0.1998002955019481,-0.5662394446111791,1.4017279194980026,-0.20518793949234138,-0.5892544991635184,1.3990494923516397,-0.21035882599151304,-0.6093261679461507,1.3982748362929074,-0.1957136673717736,-0.5198728939076743,1.3883632948975546,-0.1983385112546386,-0.5444117153471324,1.3751950136475461,-0.20060126672466128,-0.5595919885837879,1.3691611283425884,-0.203497560826322,-0.5744917750150002,1.3654713116521768
1.70113325,-0.20227978,-0.44651483,1.41748615,-0.20456502873170837,-0.4643553880869364,1.4546542206223239,-0.22418666963082318,-0.4883544802410032,1.4691094473284418,-0.2355397541098029,-0.5125269682494934,1.4783149561639624,-0.24573445457154847,-0.5301605523371614,1.4898208596351656,-0.2161007248644417,-0.5289544183540441,1.4481605614919144,-0.22451700188922483,-0.5616553149604241,1.4596499393289857,-0.2323740732617839,-0.5810243526880094,1.4639205674785423,-0.2390536853195582,-0.5983567609135352,1.4668622960339297,-0.21407004122033801,-0.5320644170273148,1.4245981899424152,-0.2156056311404837,-0.5723221463411774,1.4288454880357147,-0.22301414528703262,-0.5955535778576806,1.4289201770511228,-0.22938767316739178,-0.6153219945766597,1.4291574758095023,-0.2055304685892345,-0.52877720065177,1.4058252501314596,-0.2024063327144106,-0.56621968601809,1.4006414763803234,-0.20806198612677518,-0.5887763697889632,1.3968627724104072,-0.213775549551617,-0.6082396662341405,1.395689869571091,-0.1956582406614005,-0.5198509885919722,1.3882003627544552,-0.19793843784584697,-0.5441689996364738,1.374566498576807,-0.2003879079998752,-0.5594448052616384,1.3685495824775824,-0.203418622190033,-0.5737997085983834,1.3647209977509613
1.99773622,-0.20227978,-0.44651483,1.41748615,-0.20179886223882174,-0.4658067862486508,1.4564940190623425,-0.21907354456375058,-0.49032658332300094,1.4719253142193798,-0.22848703924404795,-0.5139078506853869,1.482013200349272,-0.23691725756257936,-0.53252027386953,1.493271132925396,-0.21603290028683067,-0.5281531232929434,1.448061330293424,-0.21678258752956003,-0.5620387259353296,1.4614655911221512,-0.22374060394421993,-0.5823773724939132,1.4663408546145347,-0.22944104220458422,-0.599131623289076,1.4702537044793678,-0.2104736656748759,-0.5317801953300688,1.426525567487892,-0.2155194277242674,-0.5708342075880622,1.4287279206036985,-0.21667723255221413,-0.5964160014206423,1.4306090830527458,-0.2220382105606807,-0.615749275207949,1.4311146169551527,-0.20344746099178143,-0.5282640857644562,1.4064958540415986,-0.20522217873916618,-0.5648769048872768,1.400087169060333,-0.20499316701136946,-0.5894595862447243,1.398285693178664,-0.2151558097941322,-0.6059141757391895,1.396396847128809,-0.19560722356082413,-0.5199594847893431,1.3880337568191077,-0.1978649904022395,-0.5440567653209711,1.3740867155788006,-0.20020577956762386,-0.5593950758429816,1.368186690357141,-0.20298472006885696,-0.5738430179270654,1.3645204936160753
2.30255151,-0.20227978,-0.44651483,1.41748615,-0.20153491462732634,-0.46735143949941993,1.456970209789934,-0.22247981266148842,-0.4901460680772032,1.4710125052920278,-0.2393893724245611,-0.5115967116553408,1.4765021586602578,-0.24551376839531813,-0.529905042156479,1.4893194211650225,-0.2159839254420717,-0.5287562748022954,1.4478368705703344,-0.2259264774801544,-0.5611724439823886,1.4572653101668522,-0.2347060330941023,-0.5799142869108241,1.4605721451551332,-0.24214211098434296,-0.5962475541389205,1.462902893297153,-0.20911155129477374,-0.5325110362590587,1.4263939532098462,-0.21795349708346246,-0.5707661752911304,1.427028696278249,-0.2267797124518919,-0.5934877821208768,1.4263825817424416,-0.2341188335580351,-0.612585276271397,1.4256364124100067,-0.20577139805000053,-0.5276578939299162,1.4061092529163608,-0.2104280135464854,-0.563113631198862,1.3984502190677905,-0.2124747634199435,-0.5871309173699791,1.396251350373832,-0.22410936618826655,-0.6028343835103183,1.3928434672128047,-0.19576327569255886,-0.519797145368758,1.3885214531500822,-0.1993106998614766,-0.5428353753755665,1.3740319265872916,-0.20272054803169634,-0.5577233755728426,1.3675300978735798,-0.20664526898983368,-0.5717296771838684,1.363249132920737
2.60695219,-0.20227978,-0.44651483,1.41748615,-0.20531373559171856,-0.46571867552149143,1.4553874424855011,-0.21976044942481018,-0.49033537153049966,1.4718650637273094,-0.23563596693490163,-0.513309712413516,1.4776247508730609,-0.24544342796311447,-0.5313442301205875,1.4877506198087993,-0.21610137154967443,-0.5283596994997943,1.4482393958411994,-0.22341273777705167,-0.5603308976553177,1.4573817752581146,-0.2353259300783083,-0.5772089623109027,1.457269660092452,-0.24101960462651467,-0.5933758721746298,1.458582099429342,-0.2086289480828545,-0.5320218500810852,1.4265762976229301,-0.2197504711143919,-0.5675638834420135,1.4259636192416543,-0.22636207631919875,-0.5893668503065099,1.4250594506991143,-0.23193301666855498,-0.6073427376969309,1.4246144223992265,-0.1999529765929608,-0.5285789934215238,1.4075913078034061,-0.20735921543768088,-0.5620944206812631,1.3992913905440347,-0.20719339287172028,-0.5850768627015203,1.3968981954371162,-0.21758203310316915,-0.6009449781430638,1.3937745881886854,-0.1955926806216062,-0.5193056898255576,1.3880748024260265,-0.19780644140278025,-0.5427357538311222,1.3748443356168627,-0.20042443349517156,-0.5574047197411721,1.369648841380135,-0.19815046488514576,-0.5736028416392375,1.366987938071998
2.92298365,-0.20227978,-0.44651483,1.41748615,-0.2056928716656955,-0.4662199155790336,1.4555469449903948,-0.22021270069160204,-0.49036365543720045,1.4723166547544597,-0.2359678601643943,-0.5138720027263135,1.4771728930149524,-0.24607886446551894,-0.5324952142756476,1.487406557275764,-0.2160997872807272,-0.527550195074876,1.4483393309933612,-0.21765740648207818,-0.5608891628884722,1.458659173358173,-0.23456449486647563,-0.5757956838771814,1.4556736063072098,-0.2398427409949233,-0.5914710149594906,1.4562674213391438,-0.2083729994850752,-0.5314497730902905,1.4260572813481938,-0.2186003873309323,-0.5647856702799886,1.4248449170602286,-0.2245354046882284,-0.5850412106478526,1.4234151540231326,-0.24372468194108785,-0.594996514582739,1.4166162888126823,-0.19964057864211773,-0.5280687012130248,1.407087076023511,-0.2058615782108521,-0.5583443350010693,1.3983748932196474,-0.21021466446909134,-0.5769310471623216,1.3943510855010721,-0.22421896241182995,-0.5878656866813534,1.389004279617967,-0.19546034945874446,-0.51951192849082,1.3876523719713982,-0.1978097303270917,-0.5411779808929664,1.3762008835305068,-0.2004240586612889,-0.5554484888123654,1.3713054516942205,-0.2031603980440089,-0.5679289487928463,1.368140492091155
